================================================================================
HUMAN.DOCUMENT.REGISTRY — GENERATED HUMAN VIEW
================================================================================
SOURCE..............: HUMAN.DOCUMENT.REGISTRY.json
EDIT_POLICY.........: DO NOT EDIT MANUALLY
DOCUMENT_COUNT......: 33
OFFICIAL_NAME.......: HIA — Human Intelligence Amplifier
SYNC_STATUS.........: FROZEN

IDX | STATE | TYPE | AUTHORITY | PATH | ACTION
----|-------|------|-----------|------|-------
01 | ACTIVE_DRAFT | DOCTRINE | PRIMARY_DOMAIN_OWNER | 00.0_HUMAN.GENERAL.txt | Reconcile and promote later
02 | ACTIVE_REFERENCE | REFERENCE | NAVIGATION | 00.1_HUMAN.READING.ORDER.txt | Update after owner reconciliation
03 | ACTIVE_DRAFT | REFERENCE | DOMAIN_OWNER_CANDIDATE | 00.2_HUMAN.SYSTEM.OVERVIEW.txt | Correct naming and capability states
04 | ACTIVE_DRAFT | REFERENCE | NAVIGATION | 00.3_HUMAN.SYSTEM.MAP.txt | Rebuild after reconciliation
05 | DERIVED | INDEX | GENERATED | 00.4_HUMAN.INDEX.txt | Generate from registry
06 | ACTIVE_DRAFT | METHOD | DOMAIN_OWNER | 01.0_HUMAN.USER.txt | Align with session lifecycle
07 | ACTIVE_DRAFT | METHOD | DOMAIN_OWNER | 02.0_HUMAN.OPERATION.txt | Modernize primary operating path
08 | ACTIVE_REFERENCE | REFERENCE | REFERENCE | 02.0_HUMAN.USE.CASE.txt | Rename to 02.1 and classify cases
09 | ACTIVE_DRAFT | SPECIFICATION | DOMAIN_OWNER | 03.0_HUMAN.RADAR.txt | Reconcile active draft and implementation
10 | HISTORICAL_PENDING_RELOCATION | HISTORICAL_SNAPSHOT | NON_AUTHORITY_COMPATIBILITY | 04.0_HUMAN.BATON.txt | Migrate consumers in B3-B2, then move in B3-B3
11 | HISTORICAL_PENDING_RELOCATION | HISTORICAL_SNAPSHOT | NON_AUTHORITY | 04.00_WHOAMI.ACTIVE.txt | Move to history in B3-B3
12 | ACTIVE_DRAFT | SPECIFICATION | DOMAIN_OWNER | 05.0_HUMAN.CIS.txt | Reconcile baseline versus risk controls
13 | ACTIVE_DRAFT | METHOD | DOMAIN_OWNER | 06.0_HUMAN.PF0.txt | Broaden beyond code
14 | ACTIVE_DRAFT | DOCTRINE | DOMAIN_OWNER | 07.0_HUMAN.MASTER.txt | Implement approved authority model
15 | ACTIVE_DRAFT | SPECIFICATION | OPERATIONAL_MANIFEST | 08.0_HUMAN.SYNC.MANIFEST.txt | Frozen until B3-F/B4
16 | ACTIVE_DRAFT | SPECIFICATION | SUPPORTING_CONTRACT | 08.1_HUMAN.DRAGNDROP.PACKAGING.txt | Revalidate current use
17 | ACTIVE_DRAFT | METHOD | DOMAIN_OWNER | 09.0_HUMAN.START.RITUAL.txt | Modernize around CONTINUE
18 | ACTIVE_DRAFT | RUNBOOK | SUPPORT | 10.0_HUMAN.HIA.TROUBLE.txt | Update current architecture
19 | ACTIVE_DRAFT | SPECIFICATION | DOMAIN_OWNER | 11.0_HUMAN.SESSION.LIFECYCLE.txt | Become single lifecycle owner
20 | ACTIVE_DRAFT | RUNBOOK | DOMAIN_OWNER | HIA_HUM_0012.0_OPERATION.RUNBOOK.txt | Update exact commands
21 | HISTORICAL | CHANGELOG | NON_AUTHORITY | CASEBOOK\HIA_HUM_0003_OFFICE.CHANGELOG.txt | Retain history
22 | ACTIVE_REFERENCE | CASE_EVIDENCE | NON_AUTHORITY | CASEBOOK\HIA_HUM_0004_USECASE.TL.BOOTSTRAP_SENSITIVITY.MATRIX.txt | Reclassify after review
23 | SUPERSEDED | REFERENCE | NON_AUTHORITY | CASEBOOK\HIA_HUM_0010.0_OPS.RUNTIME.MANUAL.txt | Extract reusable content
24 | ACTIVE_REFERENCE | REFERENCE | NON_AUTHORITY | CASEBOOK\HIA_HUM_0010.1_CONTEXT.PACKAGING.AND.HANDOFF.txt | Assess Skill candidate
25 | ACTIVE_REFERENCE | REFERENCE | NON_AUTHORITY | CASEBOOK\HIA_HUM_0010.2_STACK.DECISION.METHOD.txt | Assess Skill candidate
26 | ACTIVE_REFERENCE | REFERENCE | NON_AUTHORITY | CASEBOOK\HIA_HUM_0010.3_IA.ROLES.MODES.MATRIX.txt | Extract reusable taxonomy
27 | SUPERSEDED | REFERENCE | NON_AUTHORITY | CASEBOOK\HIA_HUM_0010.4_SYNC.MULTI.IA.GOVERNANCE.txt | Extract enduring rules
28 | ACTIVE_REFERENCE | REFERENCE | NON_AUTHORITY | CASEBOOK\HIA_HUM_0010.5_RESULTS.REVIEW.AND.QA.txt | Assess Skill candidate
29 | HISTORICAL | CASE_EVIDENCE | NON_AUTHORITY | CASEBOOK\HIA_HUM_0011.0_CASE.REAL_GUIDE_SENSITIVITY.TIR.txt | Retain dated case
30 | HISTORICAL | CHANGELOG | NON_AUTHORITY | CHANGELOG.md | Retain append-only history
31 | ACTIVE_REFERENCE | REFERENCE | NON_AUTHORITY | HIA_DGM_0000_DIAGRAMS.README.txt | Correct location metadata
32 | ACTIVE_DRAFT | SPECIFICATION | DOMAIN_OWNER | 04.0_HUMAN.BATON.SPEC.txt | Validate then promote later
33 | ACTIVE_DRAFT | SPECIFICATION | DOMAIN_OWNER | 04.1_HUMAN.WHOAMI.SPEC.txt | Validate then promote later
